DOI,URL
10.1787/781108864121,https://www.oecd-ilibrary.org/social-issues-migration-health/challenges-to-tackling-antimicrobial-resistance_9781108864121
10.1787/000007223551,https://www.oecd-ilibrary.org/development/chinese-outward-investment-in-hong-kong_000007223551
10.1787/000706200171,https://www.oecd-ilibrary.org/economics/standard-shocks-in-the-oecd-interlink-model_000706200171
10.1787/002055551334,https://www.oecd-ilibrary.org/development/culture-genre-et-croissance_002055551334
10.1787/002243151077,https://www.oecd-ilibrary.org/economics/labour-market-institutions-product-market-regulation-and-innovation_002243151077
10.1787/003231472558,https://www.oecd-ilibrary.org/development/privatisation_003231472558
10.1787/003668471407,https://www.oecd-ilibrary.org/development/les-omd-le-contribuable-et-l-efficacite-de-l-aide_003668471407
10.1787/004352173554,https://www.oecd-ilibrary.org/development/emerging-market-risk-and-sovereign-credit-ratings_004352173554
10.1787/004581482564,https://www.oecd-ilibrary.org/economics/productivity-and-convergence-in-a-panel-of-oecd-industries_004581482564
10.1787/006726677165,https://www.oecd-ilibrary.org/development/the-human-dynamics-of-aid_006726677165
10.1787/006580410672,https://www.oecd-ilibrary.org/development/health-insurance-for-the-poor_006580410672
10.1787/006737401012,https://www.oecd-ilibrary.org/economics/saving-trends-and-behaviour-in-oecd-countries_006737401012
10.1787/007703146627,https://www.oecd-ilibrary.org/development/la-dynamique-humaine-de-l-aide_007703146627
10.1787/007750682315,https://www.oecd-ilibrary.org/economics/mark-up-ratios-in-manufacturing-industries_007750682315
10.1787/007634044873,https://www.oecd-ilibrary.org/development/l-assurance-maladie-privee-dans-les-pays-en-developpement_007634044873
10.1787/008072422314,https://www.oecd-ilibrary.org/development/capacites-d-adaptation-et-developpement-a-effet-d-integration_008072422314
10.1787/010142814842,https://www.oecd-ilibrary.org/social-issues-migration-health/the-enabling-state-from-public-to-private-responsibility-for-social-protection_010142814842
10.1787/010021066480,https://www.oecd-ilibrary.org/economics/comparative-analysis-of-firm-demographics-and-survival_010021066480
10.1787/010307254158,https://www.oecd-ilibrary.org/development/energie-et-pauvrete-en-afrique_010307254158
10.1787/010624746507,https://www.oecd-ilibrary.org/development/le-financement-des-pme-en-afrique_010624746507
10.1787/011121626005,https://www.oecd-ilibrary.org/development/participatory-development-and-gender_011121626005
10.1787/011766488208,https://www.oecd-ilibrary.org/environment/ranking-port-cities-with-high-exposure-and-vulnerability-to-climate-extremes_011766488208
10.1787/013876245470,https://www.oecd-ilibrary.org/economics/an-international-sectoral-data-base-for-fourteen-oecd-countries-second-edition_013876245470
10.1787/012554655282,https://www.oecd-ilibrary.org/economics/private-consumption-inflation-and-the-debt-neutrality-hypothesis_012554655282
10.1787/013685437628,https://www.oecd-ilibrary.org/development/l-economie-africaine-en-2004_013685437628
10.1787/013245868670,https://www.oecd-ilibrary.org/science-and-technology/taxation-smes-and-entrepreneurship_013245868670
10.1787/014683601817,https://www.oecd-ilibrary.org/development/decentralisation-et-reduction-de-la-pauvrete_014683601817
10.1787/014860854541,https://www.oecd-ilibrary.org/development/coherence-des-politiques-des-pays-ocde_014860854541
10.1787/015053625152,https://www.oecd-ilibrary.org/development/la-gouvernance-d-entreprise_015053625152
10.1787/015116868263,https://www.oecd-ilibrary.org/development/mobiliser-l-opinion-publique-contre-la-pauvrete_015116868263
10.1787/016221755377,https://www.oecd-ilibrary.org/economics/souplesse-de-la-production-et-inflation_016221755377
10.1787/016668388552,https://www.oecd-ilibrary.org/economics/product-market-regulation-and-wage-premia-in-europe-and-north-america_016668388552
10.1787/017028157830,https://www.oecd-ilibrary.org/development/economic-growth-and-poverty-reduction_017028157830
10.1787/017838576565,https://www.oecd-ilibrary.org/development/vers-un-accord-de-libre-echange-en-asie-de-l-est_017838576565
10.1787/017462764373,https://www.oecd-ilibrary.org/economics/raising-greece-s-potential-output-growth_017462764373
10.1787/017785106355,https://www.oecd-ilibrary.org/economics/making-federalism-work-in-italy_017785106355
10.1787/018570574720,https://www.oecd-ilibrary.org/economics/product-market-competition-and-economic-performance-in-australia_018570574720
10.1787/018813821426,https://www.oecd-ilibrary.org/economics/the-costs-of-reducing-co2-emissions_018813821426
10.1787/020013525616,https://www.oecd-ilibrary.org/development/adaptive-capacity-and-inclusive-development_020013525616
10.1787/020412410348,https://www.oecd-ilibrary.org/development/energy-and-poverty-in-africa_020412410348
10.1787/020451668452,https://www.oecd-ilibrary.org/economics/on-aggregation-methods-of-purchasing-power-parities_020451668452
10.1787/021052635664,https://www.oecd-ilibrary.org/development/financing-smes-in-africa_021052635664
10.1787/021451754503,https://www.oecd-ilibrary.org/development/optimal-currency-composition-of-foreign-debt_021451754503
10.1787/022584484556,https://www.oecd-ilibrary.org/development/african-economic-performance-in-2004_022584484556
10.1787/023062400046,https://www.oecd-ilibrary.org/development/decentralisation-and-poverty-reduction_023062400046
10.1787/023555084632,https://www.oecd-ilibrary.org/development/corporate-governance_023555084632
10.1787/021121358375,https://www.oecd-ilibrary.org/economics/indicators-of-fiscal-policy_021121358375
10.1787/023738715074,https://www.oecd-ilibrary.org/development/mobilising-public-opinion-against-global-poverty_023738715074
10.1787/023205835334,https://www.oecd-ilibrary.org/development/policy-coherence-of-oecd-countries-matters_023205835334
10.1787/023783627741,https://www.oecd-ilibrary.org/development/fighting-corruption-in-customs-administration_023783627741
10.1787/024060486456,https://www.oecd-ilibrary.org/development/towards-an-east-asia-free-trade-area_024060486456
10.1787/025220500726,https://www.oecd-ilibrary.org/development/fiscal-decentralisation-chinese-style_025220500726
10.1787/025421300220,https://www.oecd-ilibrary.org/economics/public-expenditure-management-in-france_025421300220
10.1787/023874261242,https://www.oecd-ilibrary.org/social-issues-migration-health/national-versus-regional-financing-and-management-of-unemployment-and-related-benefits_023874261242
10.1787/027538012864,https://www.oecd-ilibrary.org/science-and-technology/impact-of-the-adoption-of-advanced-information-and-communication-technologies-on-firm-performance-in-the-canadian-manufacturing-sector_027538012864
