title,iLibraryUrl,identifier,dateOfPublication
Changes in the Composition of Output and Employment,economics/changes-in-the-composition-of-output-and-employment_874716253535,874716253535,1985-06-01
Main Features of the Public Employment Service in the Slovak Republic,social-issues-migration-health/main-features-of-the-public-employment-service-in-the-slovak-republic_230166268277,230166268277,2008-11-20
The Great Reversals,economics/the-great-reversals_371486741616,371486741616,2000-10-12
Private Health Insurance in the Netherlands,social-issues-migration-health/private-health-insurance-in-the-netherlands_834375482128,834375482128,2004-12-16
Sustainable Economic Growth,economics/sustainable-economic-growth_210018060005,210018060005,1999-07-28
Unemployment in Developing Countries,development/unemployment-in-developing-countries_665867303478,665867303478,1990-07-01
Development of Policies for Protection of Critical Information Infrastructures,science-and-technology/the-development-of-policies-for-the-protection-of-critical-information-infrastructures-cii_231008575813,231008575813,2007-02-08
Russia's Gas Sector,economics/russia-s-gas-sector_735153733318,735153733318,2004-09-17
Concevoir L'apprentissage à l'âge du savoir,education/concevoir-l-apprentissage-a-l-age-du-savoir_645522034577,645522034577,2003-06-01
Product Market Competition and Economic Performance in Iceland,economics/product-market-competition-and-economic-performance-in-iceland_605284451863,605284451863,2005-04-15
Competition Provisions in Regional Trade Agreements,trade/competition-provisions-in-regional-trade-agreements_344843480185,344843480185,2006-03-21
Les environnements éducatifs de demain au coeur des travaux de l'OCDE,education/les-environnements-educatifs-de-demain-au-coeur-des-travaux-de-l-ocde_235122640104,235122640104,2008-10-01
Politics in Africa in 2006,development/politics-in-africa-in-2006_243658517628,243658517628,2007-05-01
How to Lend to African Countries after a Decade of Debt Relief?,development/how-to-lend-to-african-countries-after-a-decade-of-debt-relief_244688853546,244688853546,2007-01-01
Improving the Business and Investment Climate in Indonesia,economics/improving-the-business-and-investment-climate-in-indonesia_236810400872,236810400872,2008-09-23
Using Patents Data to Map Technical Change in Health-Related Areas,science-and-technology/using-patents-data-to-map-technical-change-in-health-related-areas_522485718871,522485718871,2002-01-16
Corporate Net Lending,economics/corporate-net-lending_044308023722,044308023722,2007-12-06
The Impact of R&D and Technology Diffusion on Productivity Growth,science-and-technology/the-impact-of-r-d-and-technology-diffusion-on-productivity-growth_413581370285,413581370285,1996-01-01
The Evolving Retirement Income Package,social-issues-migration-health/the-evolving-retirement-income-package_767702557126,767702557126,2002-09-13
Converging European Transitions,development/converging-european-transitions_444427052842,444427052842,2000-07-01
Vivre comme étudiants,education/vivre-comme-etudiants_784145017826,784145017826,2001-06-01
"Grow Now/Clean Later, or the Pursuit of Sustainable Development?",development/grow-now-clean-later-or-the-pursuit-of-sustainable-development_043786612388,043786612388,1996-03-01
An Innovative School Revisited,education/an-innovative-school-revisited_630323063314,630323063314,2004-02-01
Carbon Taxes and CO2 Emissions Targets,economics/carbon-taxes-and-co2-emissions-targets_431042862776,431042862776,1992-04-01
Les entreprises multinationales dans des situations de conflits violents et de violations généralisées des droits de l'homme,finance-and-investment/les-entreprises-multinationales-dans-des-situations-de-conflits-violents-et-de-violations-generalisees-des-droits-de-l-homme_062221138317,062221138317,2002-05-01
African Economic Outlook 2006,development/african-economic-outlook-2006_246582074463,246582074463,2006-05-01
Managing Working Conditions in the Supply Chain,finance-and-investment/managing-working-conditions-in-the-supply-chain_434666605557,434666605557,2002-06-01
Business Investment in the OECD Economies,economics/business-investment-in-the-oecd-economies_877680733115,877680733115,1990-11-01
Assessing the Impact of Labour Market Policies on Productivity,social-issues-migration-health/assessing-the-impact-of-labour-market-policies-on-productivity_122873667103,122873667103,2007-06-15
Competition and Efficiency in Publicly Funded Services,economics/competition-and-efficiency-in-publicly-funded-services_282126010667,282126010667,2002-06-06
"Delivering Cost-Efficient Public Services in Health Care, Education and Housing in Chile",economics/delivering-cost-efficient-public-services-in-health-care-education-and-housing-in-chile_242121837336,242121837336,2008-04-14
Net Public Social Expenditure,social-issues-migration-health/net-public-social-expenditure_122001486025,122001486025,1996-01-01
How to Spend It: Commodity and Non-Commodity Sovereign Wealth Funds,development/how-to-spend-it-commodity-and-non-commodity-sovereign-wealth-funds_228474683637,228474683637,2008-09-11
Iceland: The Financial and Economic Crisis,economics/iceland-the-financial-and-economic-crisis_221071065826,221071065826,2009-10-09
Trade and Gender,trade/trade-and-gender_826133710302,826133710302,2005-11-23
School Premises and Violence,education/school-premises-and-violence_833054225153,833054225153,2000-10-01
The EU's Single Market,economics/the-eu-s-single-market_074856470712,074856470712,2005-10-07
SHA-Based Health Accounts in 13 OECD Countries -  Country Studies - Turkey,social-issues-migration-health/sha-based-health-accounts-in-13-oecd-countries-country-studies-turkey_512137774003,512137774003,2004-09-01
Towards a Learning Society,education/towards-a-learning-society_808571452380,808571452380,2001-02-01
Internationalisation of Financial Markets,economics/internationalisation-of-financial-markets_322664267766,322664267766,1986-11-01
Institutional Bottlenecks for Agricultural Development,development/institutional-bottlenecks-for-agricultural-development_671788081061,671788081061,2006-03-20
Telecommunications in Latin America,development/telecommunications-in-latin-america_243048133726,243048133726,2007-10-01
The Economic Effects of High Speed Rail Investment,transport/the-economic-effects-of-high-speed-rail-investment_235171703148,235171703148,2008-08-01
"Specialization, Technical Change and Competitiveness in the Brazilian Electronics Industry",development/specialization-technical-change-and-competitiveness-in-the-brazilian-electronics-industry_164255475842,164255475842,1990-10-01
Radio Frequency Identification (RFID) Implementation in Germany,science-and-technology/radio-frequency-identification-rfid-implementation-in-germany_230687544816,230687544816,2007-10-27
The Problems and Prospects Faced by Pay-As-You-Go Pension Systems,economics/the-problems-and-prospects-faced-by-pay-as-you-go-pension-systems_286670310381,286670310381,1999-05-10
Le Programme irlandais pour la recherche dans les établissements de troisième degré (PRTLI),education/le-programme-irlandais-pour-la-recherche-dans-les-etablissements-de-troisieme-degre-prtli_566838767166,566838767166,2005-02-01
OECD Workshop on Consumer Dispute Resolution and Redress in the Global Marketplace,science-and-technology/oecd-workshop-on-consumer-dispute-resolution-and-redress-in-the-global-marketplace_232427700758,232427700758,2005-04-19
Structural Unemployment in Denmark,economics/structural-unemployment-in-denmark_385233524308,385233524308,1997-01-01
Measuring Investment in Software,science-and-technology/measuring-investment-in-software_335303788330,335303788330,2003-05-19
Les régimes de retraite du secteur public et le défi du vieillissement de la fonction publique,governance/les-regimes-de-retraite-du-secteur-public-et-le-defi-du-vieillissement-de-la-fonction-publique_178550155230,178550155230,2007-06-01
Building Capacity to Trade,development/building-capacity-to-trade_074824026731,074824026731,2003-11-01
Dispositions juridiques liées au règlement alternatif des litiges entre entreprises et consommateurs relatifs à la vie privée et à la protection des consommateurs,science-and-technology/dispositions-juridiques-liees-au-reglement-alternatif-des-litiges-entre-entreprises-et-consommateurs-relatifs-a-la-vie-privee-et-a-la-protection-des-consommateurs_233314427382,233314427382,2003-01-22
L'évaluation des installations scolaires au Portugal,education/l-evaluation-des-installations-scolaires-au-portugal_651762765340,651762765340,2003-06-01
Report on Consumer Protections for Payment Cardholders,science-and-technology/report-on-consumer-protections-for-payment-cardholders_233364634144,233364634144,2002-06-14
Informal Cross-Border Trade and Trade Facilitation Reform in Sub-Saharan Africa,trade/informal-cross-border-trade-and-trade-facilitation-reform-in-sub-saharan-africa_225770164564,225770164564,2009-02-18
Measuring the Interaction Between Manufacturing and Services,science-and-technology/measuring-the-interaction-between-manufacturing-and-services_882376471514,882376471514,2005-05-31
Regulatory Reform and Market Openness,trade/regulatory-reform-and-market-openness_154631866770,154631866770,2007-02-09
Fonds de matières premières,development/fonds-de-matieres-premieres_036002611403,036002611403,2007-12-01
Household Structures and Savings,development/household-structures-and-savings_245640263431,245640263431,2008-01-01
Telecommunications Equipment,science-and-technology/telecommunications-equipment_237688077786,237688077786,1991-06-01
Building Public Awareness of Development,development/building-public-awareness-of-development_240327404140,240327404140,2008-07-23
Indicateurs bibliométriques et analyse des systèmes de recherche,science-and-technology/indicateurs-bibliometriques-et-analyse-des-systemes-de-recherche_233811774611,233811774611,1997-01-01
Improving Education Outcomes in the Slovak Republic,economics/improving-education-outcomes-in-the-slovak-republic_084038325004,084038325004,2007-07-24
Individual Choice in Social Protection,social-issues-migration-health/individual-choice-in-social-protection_717846424625,717846424625,2003-08-06
Linkages between Environmental Policy and Competitiveness,environment/linkages-between-environmental-policy-and-competitiveness_218446820583,218446820583,2010-01-11
Stroke Care in OECD Countries,social-issues-migration-health/stroke-care-in-oecd-countries_380362605045,380362605045,2003-06-06
What Works Among Active Labour Market Policies,social-issues-migration-health/what-works-among-active-labour-market-policies_267308158388,267308158388,1998-10-01
L'allégement de la dette et croissance,development/l-allegement-de-la-dette-et-croissance_603151830561,603151830561,1992-10-01
Annuler la dette ? Oui. Renoncer aux prêts ? Non,development/annuler-la-dette-oui-renoncer-aux-prets-non_243577531346,243577531346,2007-03-01
Achieving the Successful Transfer of Environmentally Sound Technologies,trade/achieving-the-successful-transfer-of-environmentally-sound-technologies_308662648512,308662648512,2005-08-25
Public/Private Partnerships in Quebec,education/public-private-partnerships-in-quebec_703517248050,703517248050,2003-02-01
L'emploi dans le secteur des administrations publiques sous l'angle des coûts de production des biens et des services dans le domaine public,governance/l-emploi-dans-le-secteur-des-administrations-publiques-sous-l-angle-des-couts-de-production-des-biens-et-des-services-dans-le-domaine-public_242053865825,242053865825,2008-04-01
Savings Trends and Measurement Issues,economics/savings-trends-and-measurement-issues_588782015183,588782015183,1991-01-01
Tests of Total Factor Productivity Measurement,economics/tests-of-total-factor-productivity-measurement_136767018028,136767018028,1988-05-01
